_id,name,calories,category,type,protein,carbs,fat
6814ba437371456578a76bfb,Paneer Butter Masala 11,386,lunch,vegan,19,27,11
6814ba437371456578a76bfc,Vegan Burrito 12,223,breakfast,vegan,32,15,16
6814ba437371456578a76bfd,Egg Salad 13,238,breakfast,vegan,36,44,6
6814ba437371456578a76bfe,Avocado Toast 14,257,dinner,nonveg,29,49,15
6814ba437371456578a76bff,Egg Salad 15,207,breakfast,vegan,38,26,14
6814ba437371456578a76c00,Vegan Burrito 16,278,dinner,nonveg,35,33,19
6814ba437371456578a76c01,Tofu Stir Fry 17,240,lunch,nonveg,25,40,17
6814ba437371456578a76c02,Egg Salad 18,479,dinner,vegan,25,23,12
6814ba437371456578a76c03,Egg Salad 19,312,breakfast,vegan,19,21,10
6814ba437371456578a76c04,Tofu Stir Fry 20,342,dinner,nonveg,12,23,6
6814ba437371456578a76c05,Tofu Stir Fry 21,220,breakfast,vegan,16,14,20
6814ba437371456578a76c06,Chicken Biryani 22,284,lunch,veg,27,34,20
6814ba437371456578a76c07,Lentil Soup 23,236,breakfast,nonveg,12,26,16
6814ba437371456578a76c08,Vegan Burrito 24,284,breakfast,veg,38,31,14
6814ba437371456578a76c09,Paneer Butter Masala 25,227,breakfast,vegan,35,23,15
6814ba437371456578a76c0a,Tofu Stir Fry 26,238,breakfast,vegan,12,35,19
6814ba437371456578a76c0b,Chickpea Curry 27,344,dinner,vegan,18,22,12
6814ba437371456578a76c0c,Tofu Stir Fry 28,302,breakfast,vegan,23,44,21
6814ba437371456578a76c0d,Avocado Toast 29,346,dinner,nonveg,26,33,21
6814ba437371456578a76c0e,Egg Salad 30,440,dinner,vegan,25,27,24
6814ba437371456578a76c0f,Avocado Toast 31,331,lunch,veg,13,18,17
6814ba437371456578a76c10,Chickpea Curry 32,297,lunch,veg,33,27,17
6814ba437371456578a76c11,Egg Salad 33,381,dinner,nonveg,40,32,25
6814ba437371456578a76c12,Grilled Salmon 34,442,lunch,vegan,25,14,9
6814ba437371456578a76c13,Chicken Biryani 35,343,lunch,vegan,28,28,25
6814ba437371456578a76c14,Tofu Stir Fry 36,266,lunch,nonveg,26,41,9
6814ba437371456578a76c15,Grilled Salmon 37,316,breakfast,vegan,31,12,7
6814ba437371456578a76c16,Vegan Burrito 38,433,lunch,nonveg,16,27,20
6814ba437371456578a76c17,Chickpea Curry 39,466,dinner,nonveg,40,49,14
6814ba437371456578a76c18,Chickpea Curry 40,200,breakfast,veg,29,33,25
6814ba437371456578a76c19,Avocado Toast 41,328,dinner,vegan,16,50,11
6814ba437371456578a76c1a,Chicken Biryani 42,376,dinner,nonveg,17,21,10
6814ba437371456578a76c1b,Vegan Burrito 43,428,breakfast,nonveg,14,24,13
6814ba437371456578a76c1c,Egg Salad 44,449,lunch,veg,11,28,21
6814ba437371456578a76c1d,Lentil Soup 45,257,breakfast,veg,29,24,5
6814ba437371456578a76c1e,Paneer Butter Masala 46,393,lunch,nonveg,19,14,23
6814ba437371456578a76c1f,Beef Steak 47,200,breakfast,nonveg,20,46,20
6814ba437371456578a76c20,Vegan Burrito 48,398,breakfast,vegan,11,34,18
6814ba437371456578a76c21,Grilled Salmon 49,200,breakfast,vegan,11,13,21
6814ba437371456578a76c22,Chickpea Curry 50,355,breakfast,veg,26,30,18
6814ba437371456578a76c23,Paneer Butter Masala 51,285,lunch,nonveg,14,10,21
6814ba437371456578a76c24,Chickpea Curry 52,404,breakfast,veg,29,17,7
6814ba437371456578a76c25,Chicken Biryani 53,310,dinner,vegan,10,47,14
6814ba437371456578a76c26,Avocado Toast 54,377,lunch,veg,33,17,22
6814ba437371456578a76c27,Tofu Stir Fry 55,427,lunch,nonveg,19,28,23
6814ba437371456578a76c28,Tofu Stir Fry 56,406,lunch,vegan,16,37,8
6814ba437371456578a76c29,Paneer Butter Masala 57,270,dinner,vegan,14,16,5
6814ba437371456578a76c2a,Chickpea Curry 58,467,breakfast,vegan,16,28,5
6814ba437371456578a76c2b,Egg Salad 59,357,dinner,nonveg,36,47,17
6814ba437371456578a76c2c,Chicken Biryani 60,454,breakfast,vegan,38,39,20
6814ba437371456578a76c2d,Lentil Soup 61,357,dinner,vegan,21,50,10
6814ba437371456578a76c2e,Lentil Soup 62,412,lunch,nonveg,14,20,8
6814ba437371456578a76c2f,Grilled Salmon 63,428,lunch,vegan,27,48,15
6814ba437371456578a76c30,Lentil Soup 64,404,lunch,nonveg,12,33,11
6814ba437371456578a76c31,Avocado Toast 65,279,dinner,veg,19,17,21
6814ba437371456578a76c32,Grilled Salmon 66,276,breakfast,vegan,13,42,21
6814ba437371456578a76c33,Tofu Stir Fry 67,430,dinner,vegan,30,10,10
6814ba437371456578a76c34,Egg Salad 68,397,breakfast,nonveg,38,27,6
6814ba437371456578a76c35,Chicken Biryani 69,273,lunch,vegan,21,21,9
6814ba437371456578a76c36,Chicken Biryani 70,469,dinner,vegan,10,43,18
6814ba437371456578a76c37,Beef Steak 71,235,lunch,veg,32,48,23
6814ba437371456578a76c38,Chickpea Curry 72,261,dinner,veg,39,36,8
6814ba437371456578a76c39,Chicken Biryani 73,221,breakfast,nonveg,37,26,11
6814ba437371456578a76c3a,Avocado Toast 74,363,breakfast,nonveg,34,12,24
6814ba437371456578a76c3b,Lentil Soup 75,229,dinner,vegan,32,47,18
6814ba437371456578a76c3c,Vegan Burrito 76,464,breakfast,vegan,16,47,7
6814ba437371456578a76c3d,Chickpea Curry 77,486,lunch,vegan,10,20,22
6814ba437371456578a76c3e,Chickpea Curry 78,473,lunch,nonveg,32,40,24
6814ba437371456578a76c3f,Avocado Toast 79,399,breakfast,vegan,17,35,21
6814ba437371456578a76c40,Chicken Biryani 80,377,breakfast,vegan,27,29,22
6814ba437371456578a76c41,Beef Steak 81,310,lunch,nonveg,15,34,19
6814ba437371456578a76c42,Egg Salad 82,426,dinner,nonveg,32,23,14
6814ba437371456578a76c43,Tofu Stir Fry 83,317,breakfast,nonveg,12,24,12
6814ba437371456578a76c44,Grilled Salmon 84,446,breakfast,vegan,11,28,12
6814ba437371456578a76c45,Avocado Toast 85,469,breakfast,vegan,34,45,8
6814ba437371456578a76c46,Chicken Biryani 86,266,breakfast,vegan,21,33,18
6814ba437371456578a76c47,Grilled Salmon 87,404,breakfast,veg,18,24,10
6814ba437371456578a76c48,Lentil Soup 88,458,lunch,vegan,15,31,23
6814ba437371456578a76c49,Chickpea Curry 89,399,lunch,nonveg,30,45,13
6814ba437371456578a76c4a,Vegan Burrito 90,485,dinner,vegan,10,20,8
6814ba437371456578a76c4b,Vegan Burrito 91,373,lunch,vegan,16,10,21
6814ba437371456578a76c4c,Grilled Salmon 92,258,dinner,nonveg,35,44,10
6814ba437371456578a76c4d,Paneer Butter Masala 93,497,lunch,veg,37,17,21
6814ba437371456578a76c4e,Egg Salad 94,240,breakfast,veg,20,32,25
6814ba437371456578a76c4f,Vegan Burrito 95,203,breakfast,vegan,11,41,24
6814ba437371456578a76c50,Tofu Stir Fry 96,440,lunch,nonveg,19,36,13
6814ba437371456578a76c51,Grilled Salmon 97,445,dinner,nonveg,25,42,14
6814ba437371456578a76c52,Grilled Salmon 98,302,breakfast,nonveg,10,22,21
6814ba437371456578a76c53,Egg Salad 99,413,dinner,nonveg,34,37,13
6814ba437371456578a76c54,Beef Steak 100,497,lunch,vegan,40,47,23
